dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.0,0.1,1,0.0,0.2625,-0.2625
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.2,0.3,11,0.20454545454545459,0.39431818181818185,-0.18977272727272726
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.3,0.4,2,0.3333333333333333,0.3875,-0.054166666666666696
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.4,0.5,12,0.4000000000000001,0.5010416666666667,-0.10104166666666664
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.5,0.6,5,0.5,0.55,-0.050000000000000044
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.6,0.7,29,0.606896551724138,0.6396551724137931,-0.03275862068965507
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.7,0.8,12,0.75,0.6447916666666668,0.10520833333333324
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.8,0.9,52,0.7999999999999997,0.7947115384615384,0.005288461538461298
refcoco,groundingdino,5,paired_complete_cases,complete_case_persistence,0.9,1.0,374,1.0,0.9246991978609626,0.07530080213903745
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.0,0.1,1,0.0,0.2625,-0.2625
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.2,0.3,16,0.2,0.36250000000000004,-0.16250000000000003
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.4,0.5,25,0.4000000000000001,0.507,-0.10699999999999993
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.6,0.7,50,0.6000000000000001,0.6565000000000001,-0.056499999999999995
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.8,0.9,92,0.7999999999999998,0.8001358695652173,-0.0001358695652174946
refcoco,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.9,1.0,314,1.0,0.9630971337579619,0.03690286624203809
refcoco,groundingdino,10,paired_complete_cases,complete_case_persistence,0.0,0.1,1,0.0,0.2625,-0.2625
refcoco,groundingdino,10,paired_complete_cases,complete_case_persistence,0.1,0.2,3,0.10000000000000002,0.22916666666666666,-0.12916666666666665
refcoco,groundingdino,10,paired_complete_cases,complete_case_persistence,0.2,0.3,2,0.24285714285714285,0.35625,-0.11339285714285716
