dataset,model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,total_optimism,identity_residual
refcoco,groundingdino,2,0.1,0.5,0.998,0.9716182364729459,0.9293062108438394,0.9029308617234468,0.901125,0.0281812108438394,7.28583859910259e-17
refcoco,groundingdino,2,0.1,0.7,0.998,0.9659569138276554,0.9310183864526336,0.8993236472945892,0.8975250000000001,0.033493386452633445,2.7755575615628914e-17
refcoco,groundingdino,2,0.1,0.85,0.998,0.9659569138276554,0.9310183864526336,0.8993236472945892,0.8975250000000001,0.033493386452633445,2.7755575615628914e-17
refcoco,groundingdino,2,0.15,0.5,0.998,0.9710170340681363,0.9292624409875397,0.9023296593186374,0.9005250000000001,0.02873744098753961,3.8163916471489756e-17
refcoco,groundingdino,2,0.15,0.7,0.998,0.9653807615230461,0.9309772172920234,0.89874749498998,0.89695,0.034027217292023404,2.7755575615628914e-17
refcoco,groundingdino,2,0.15,0.85,0.998,0.9653807615230461,0.9309772172920234,0.89874749498998,0.89695,0.034027217292023404,2.7755575615628914e-17
refcoco,groundingdino,2,0.25,0.5,0.998,0.9707915831663326,0.9292460133147545,0.9021042084168336,0.9003,0.02894601331475455,6.591949208711867e-17
refcoco,groundingdino,2,0.25,0.7,0.998,0.9651553106212425,0.9309610942407017,0.8985220440881763,0.8967249999999999,0.03423609424070184,3.469446951953614e-17
refcoco,groundingdino,2,0.25,0.85,0.998,0.9651553106212425,0.9309610942407017,0.8985220440881763,0.8967249999999999,0.03423609424070184,3.469446951953614e-17
refcoco,groundingdino,3,0.1,0.5,0.998,0.9803857715430861,0.9129212765413803,0.8950150300601203,0.893225,0.019696276541380286,3.469446951953614e-18
refcoco,groundingdino,3,0.1,0.7,0.998,0.9758767535070141,0.915470903817029,0.8933867735470942,0.8916000000000001,0.023870903817028943,5.204170427930421e-17
refcoco,groundingdino,3,0.1,0.85,0.998,0.9758767535070141,0.915470903817029,0.8933867735470942,0.8916000000000001,0.023870903817028943,5.204170427930421e-17
refcoco,groundingdino,3,0.15,0.5,0.998,0.9792585170340682,0.9128466182339098,0.8939128256513026,0.892125,0.020721618233909833,1.3530843112619095e-16
refcoco,groundingdino,3,0.15,0.7,0.998,0.974749498997996,0.9153988486842105,0.8922845691382766,0.8905,0.02489884868421055,2.42861286636753e-17
refcoco,groundingdino,3,0.15,0.85,0.998,0.974749498997996,0.9153988486842105,0.8922845691382766,0.8905,0.02489884868421055,2.42861286636753e-17
refcoco,groundingdino,3,0.25,0.5,0.998,0.9785070140280561,0.9128308842353182,0.8932114228456913,0.8914249999999999,0.021405884235318307,2.0816681711721685e-17
refcoco,groundingdino,3,0.25,0.7,0.998,0.973997995991984,0.9153850110591019,0.8915831663326653,0.8897999999999999,0.025585011059101936,1.1449174941446927e-16
refcoco,groundingdino,3,0.25,0.85,0.998,0.973997995991984,0.9153850110591019,0.8915831663326653,0.8897999999999999,0.025585011059101936,1.1449174941446927e-16
refcoco,groundingdino,5,0.1,0.5,0.998,0.9523296593186372,0.9042796643606806,0.8611723446893786,0.8594499999999999,0.0448296643606807,7.632783294297951e-17
refcoco,groundingdino,5,0.1,0.7,0.998,0.9488977955911824,0.9067845828933474,0.8604458917835671,0.8587250000000001,0.04805958289334733,1.249000902703301e-16
refcoco,groundingdino,5,0.1,0.85,0.998,0.9488977955911824,0.9067845828933474,0.8604458917835671,0.8587250000000001,0.04805958289334733,1.249000902703301e-16
refcoco,groundingdino,5,0.15,0.5,0.998,0.948371743486974,0.9045141181753349,0.8578156312625251,0.8561000000000001,0.04841411817533481,3.469446951953614e-17
refcoco,groundingdino,5,0.15,0.7,0.998,0.944939879759519,0.9070303801495149,0.8570891783567134,0.855375,0.05165538014951487,4.85722573273506e-17
refcoco,groundingdino,5,0.15,0.85,0.998,0.944939879759519,0.9070303801495149,0.8570891783567134,0.855375,0.05165538014951487,4.85722573273506e-17
refcoco,groundingdino,5,0.25,0.5,0.998,0.9426102204408817,0.9048606128252146,0.8529308617234469,0.851225,0.05363561282521456,1.0408340855860843e-16
refcoco,groundingdino,5,0.25,0.7,0.998,0.939303607214429,0.9072992506067152,0.8522294589178357,0.8505250000000001,0.05677425060671515,0.0
refcoco,groundingdino,5,0.25,0.85,0.998,0.939303607214429,0.9072992506067152,0.8522294589178357,0.8505250000000001,0.05677425060671515,0.0
refcoco,yoloworld,2,0.1,0.5,0.728,0.8961881868131868,0.8958500977123808,0.8028502747252747,0.5844749999999999,0.3113750977123809,1.1102230246251565e-16
refcoco,yoloworld,2,0.1,0.7,0.728,0.889114010989011,0.8999652388860995,0.8001717032967033,0.582525,0.3174402388860995,0.0
refcoco,yoloworld,2,0.1,0.85,0.728,0.889114010989011,0.8999652388860995,0.8001717032967033,0.582525,0.3174402388860995,0.0
refcoco,yoloworld,2,0.15,0.5,0.728,0.8947458791208791,0.8957589714066397,0.8014766483516482,0.5834749999999999,0.3122839714066399,5.551115123125783e-17
refcoco,yoloworld,2,0.15,0.7,0.728,0.8876717032967034,0.8998800727300863,0.798798076923077,0.5815250000000001,0.31835507273008623,0.0
refcoco,yoloworld,2,0.15,0.85,0.728,0.8876717032967034,0.8998800727300863,0.798798076923077,0.5815250000000001,0.31835507273008623,0.0
refcoco,yoloworld,2,0.25,0.5,0.728,0.8931318681318682,0.8961473392802215,0.8003777472527472,0.5826749999999999,0.31347233928022156,5.551115123125783e-17
refcoco,yoloworld,2,0.25,0.7,0.728,0.8861607142857143,0.9002906413485758,0.7978021978021977,0.5808,0.31949064134857585,5.551115123125783e-17
refcoco,yoloworld,2,0.25,0.85,0.728,0.8861607142857143,0.9002906413485758,0.7978021978021977,0.5808,0.31949064134857585,5.551115123125783e-17
refcoco,yoloworld,3,0.1,0.5,0.728,0.8861607142857143,0.8711102499515597,0.7719436813186813,0.5619750000000001,0.3091352499515596,1.6653345369377348e-16
refcoco,yoloworld,3,0.1,0.7,0.728,0.8813530219780219,0.8740697447886225,0.7703640109890109,0.5608249999999999,0.31324474478862263,5.551115123125783e-17
